id,icao24,registration,adep,model,icao_operator
10697763467637035212,4cafc2,EI-GXG,LEAL,,
10731764903384965105,404807,G-MODE,EGHL,EC120 B Colibri,
10737400553898640398,407152,G-DSAA,EGGD,AW169,
10738377378721208564,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
10742661570329923268,4022e9,G-SABA,EGTE,PIPER PA-28R-201T Turbo Cherokee Arrow Iii,
10776416343811064886,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
10882044515433659769,50020a,T7-SLXP,EGLK,,
10894708905594820311,4ca760,EI-EFE,,BOEING 737-8AS,RYR
10895248685773008818,4009cb,G-FRAI,,FAN JET FALCON SERIES E Falcon 20e,
10929518230070480790,43ec3f,2-CLEV,EIKY,525A CitationJet CJ2,
10948461902948309661,40656d,G-OCDC,,SKYRANGER NYNJA 912S(1) Skyranger,
10952490689433482951,4009d1,G-FRAP,,FAN JET FALCON SERIES D Falcon 20d,
10980059533192677720,407377,G-IASB,EGNS,BEECH B200GT Super Kingair,
11027238857666071330,4067f2,G-TAWO,,BOEING 737-8K5,TOM
11040655454451671841,401ca5,G-BEWR,,REIMS CESSNA F172N Skyhawk,
11066982619813302867,4ca8d4,EI-ENI,LPFR,BOEING 737-8AS,RYR
11161197175699188219,407ded,G-LOGI,EGKA,,
11216559775368618460,4078a4,G-POLW,EGNM,,
11236752925134411469,4009d2,G-FRAR,,FAN JET FALCON SERIES D Falcon 20d,
11244816630893643552,4074ca,G-ETPB,,,
11380320005537203805,400f3c,G-CBZX,EGTE,MCR-01 ULC Banbi,
11410853054468486004,4009ce,G-FRAL,,FAN JET FALCON Falcon 20,
11417008207280624661,4075fb,G-RBHF,EGHL,,
11489413923498313600,4d2229,9H-QCI,LIPZ,,
11495894545530531111,5002b7,T7-DAT,LFMD,,
11553887463622085458,40101b,G-HBBH,,IKARUS C42 FB100 Ikarus,
11556099619696307029,4075b7,G-XIVA,EGTE,,
11574553851880608558,424c07,M-ABRB,EGSS,,
11582079664390891733,4cac1f,EI-HEZ,,,
11629092882181807721,4009d2,G-FRAR,EGDY,FAN JET FALCON SERIES D Falcon 20d,
11679522963849245972,440866,OE-FDT,EIDW,Citation Mustang,
11694336652776097019,407a19,G-MDSI,EGCC,,
11749007530561452160,404fd1,G-CFOG,EGHL,IKARUS C42 FB UK Ikarus,
11749413807206928695,4b1a34,HB-JYA,LSGG,A320-214,
11763145225241672772,402e63,G-BPVI,EGDY,PIPER PA-32R-301 Saratoga Sp,
11848738754074359318,407152,G-DSAA,EGGD,AW169,
11848935052349019911,49130e,CS-DXN,,Citation XLS,NJE
11874958384914125149,404c63,G-CCZL,,IKARUS C42 FB80 Ikarus,
11888149093920867578,407152,G-DSAA,EGHI,AW169,
11929651513558482387,403c75,G-BWUH,,PIPER PA-28-181 Cherokee Archer Iii,
11933910781407294714,406660,G-TAWA,,BOEING 737-8K5,TOM
12030712247437500090,4011ea,G-AZFM,EGDY,PIPER PA-28R-200 Cherokee Arrow,
12033601042144875898,40768a,G-UZHV,LSGG,,
12035779811058276202,48c233,SP-RSU,,,
12047088166310079793,48c220,SP-RSA,EPKK,,
12154388605721200231,4009d3,G-FRAS,,FAN JET FALCON Falcon 20,
12156899220129095103,401853,G-AXSG,,PIPER PA-28-180 Cherokee,
12200639200665016380,407377,G-IASB,EGNS,BEECH B200GT Super Kingair,
12201300398863983676,43ec2b,2-TEAM,EGJJ,,
12226626592685443129,400db9,G-BFBR,,PIPER PA-28-161 Cherokee Warrior Ii,
12234214308955851721,401e56,G-BHJS,EGTE,P68B Victor,
12240910917267225236,407152,G-DSAA,EGGD,AW169,
12409857565133895717,405200,G-XVIP,EGJB,BEECH 200 Super Kingair,
12412600296273808868,4009d3,G-FRAS,EGNV,FAN JET FALCON Falcon 20,
12420623797246705032,494116,CS-PHV,EGJJ,,
12526086352583057058,4ca760,EI-EFE,LMML,BOEING 737-8AS,RYR
12547572661343565401,440866,OE-FDT,EBBR,Citation Mustang,
12553021105559193523,403c57,G-ULAS,,DHC-1 CHIPMUNK 22 Chipmunk,
12676973661938031628,4ca8d4,EI-ENI,LPFR,BOEING 737-8AS,RYR
12737114811794225445,491307,CS-DXG,,Citation XLS,NJE
12800805890555495429,406862,G-RCAV,EGNT,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,GMA
12842716834476574419,4035ec,G-BUFH,,PIPER PA-28-161 Cherokee Warrior Ii,
12877376613578980502,43edd9,2-TABS,EGJB,,
12914480966490516956,400f3c,G-CBZX,EGTE,MCR-01 ULC Banbi,
12917870757319866873,4009d2,G-FRAR,EGHQ,FAN JET FALCON SERIES D Falcon 20d,
13069872427188545749,4011c1,G-CTCH,,DA 42 Twin Star,
13141655134230415927,4015c4,G-ASIL,EGDY,PIPER PA-28-180 Cherokee,
13179599704880447879,402af0,G-JJAN,,PIPER PA-28-181 Cherokee Archer Ii,
13182091891564928948,407936,G-LHXA,EGVO,,
13325557188445626182,43c900,,EGFF,,
